Name,RegNr,Ersteintrag,LetzteÄnd,Tätigkeit,Interessen,FinanzAufw,Betrag,Geschäftsjahr,VollzeitEquiv,Regelungen,Stellungnahmen,GrundVerweig,Beschäftigte,Auftraggeber
Creditreform Boniversum GmbH,R006663,28.04.2024,–,Unternehmen,"Parlamentarisches Verfahren; EU-Gesetzgebung; Datenschutz und Informationssicherheit; Digitalisierung; Sonstiges im Bereich ""Recht""; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz; Versicherungswesen",,1 bis 10.000 Euro,01/23 bis 12/23,0.00,,,,,
energy traders europe,R006662,26.04.2024,–,Wirtschaftsverband oder Gewerbeverband/-verein,"Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Öffentliche Finanzen, Steuern und Abgaben; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht",,490.001 bis 500.000 Euro,01/23 bis 12/23,15.00,1,1,,,
Christian Nikolai - RaumLenker MotorConsult,R006661,26.04.2024,–,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",Allgemeine Energiepolitik; Erneuerbare Energien,,0 Euro,01/23 bis 12/23,0.25,0,,,,
PVA TePla AG,R006660,26.04.2024,–,Unternehmen,"Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Datenschutz und Informationssicherheit; Digitalisierung; Klimaschutz; Luft- und Raumfahrt; Verkehrsinfrastruktur; Automobilwirtschaft; Industriepolitik; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/23 bis 12/23,0.01,0,,,,
Bundesverband Selbsthilfe Glücksspielsucht Glücksspielfrei e.V.,R006659,26.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Sonstiges im Bereich ""Gesundheit""; Schutz für Glückspieler vor Glücksspielsucht, Unterstützung von Glücksspielsüchtigen",,0 Euro,01/23 bis 12/23,0.00,0,,,,
GREENTECH SHOW GmbH,R006658,25.04.2024,–,Unternehmen,"Erneuerbare Energien; Kultur; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Digitalisierung; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Bauwesen und Bauwirtschaft; Stadtentwicklung; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Automobilwirtschaft; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",,0 Euro,01/23 bis 12/23,0.60,0,,,,
Dipl.-Chem. Oliver Dellschau - Dellschau Consulting,R006657,25.04.2024,25.04.2024,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",Rüstungsangelegenheiten,"Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",,,"Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",0,,,,
PNE AG,R006656,25.04.2024,–,Unternehmen,Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien,,0 Euro,01/23 bis 12/23,1.00,1,,,,
Bergwaldprojekt e.V.,R006655,25.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Land- und Forstwirtschaft; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""",,0 Euro,01/23 bis 12/23,1.00,2,,,,
Verband Christlicher Pfadfinder*innen (VCP) e.V.,R006654,25.04.2024,25.04.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Auswärtige Kultur- und Bildungspolitik; Internationale Beziehungen; Menschenrechte; Sonstiges im Bereich ""Bildung und Erziehung""; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Diversitätspolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Asyl und Flüchtlingsschutz; Integration; Migration; Politisches Leben, Parteien; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz",,40.001 bis 50.000 Euro,01/23 bis 12/23,1.00,1,,,,
Roundtable Wärmewende,R006653,24.04.2024,–,"Plattform, Netzwerk, Interessengemeinschaft, Denkfabrik, Initiative, Aktionsbündnis o. ä.","Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Öffentliche Finanzen, Steuern und Abgaben; Klimaschutz; Verbraucherschutz",,10.001 bis 20.000 Euro,07/22 bis 06/23,0.00,0,,,,
Fahrgastverband PRO BAHN Landesverband Rheinland-Pfalz/Saarland,R006652,24.04.2024,24.04.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Familienpolitik; Rechte von Menschen mit Behinderung; Tourismus; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Personenverkehr; Schienenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Verbraucherschutz",,0 Euro,01/23 bis 12/23,0.00,4,,,,
Stadtwerke Energie Jena-Pößneck GmbH,R006651,24.04.2024,–,Unternehmen,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Verkehrsinfrastruktur",,120.001 bis 130.000 Euro,01/23 bis 12/23,0.10,0,,,,
Bundesverband Möbelspedition und Logistik (AMÖ) e.V.,R006650,24.04.2024,–,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenwirtschaft; Berufliche Bildung; EU-Binnenmarkt; EU- Gesetzgebung; Cybersicherheit; Kriminalitätsbekämpfung; Datenschutz und Informationssicherheit; Digitalisierung; Ausländer- und Aufenthaltsrecht; Öffentliche Finanzen, Steuern und Abgaben; Stadtentwicklung; Öffentliches Recht; Zivilrecht; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""",,0 Euro,01/23 bis 12/23,1.00,0,,,,
Westfalen Weser Netz,R006649,24.04.2024,–,Unternehmen,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Wissenschaft, Forschung und Technologie",,260.001 bis 270.000 Euro,01/23 bis 12/23,2.74,0,,,,
Das Buschfunk Bündnis e.V.,R006648,24.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Sonstiges im Bereich ""Bildung und Erziehung""; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Seniorenpolitik; Sonstiges im Bereich ""Gesundheit""; Stadtentwicklung; Sonstiges im Bereich ""Soziale Sicherung""; Nachhaltigkeit und Ressourcenschutz",,0 Euro,01/23 bis 12/23,0.00,1,,,,
Bundesarbeitsgemeinschaft für ambulante psychosoziale Krebsberatung,R006647,23.04.2024,–,Privatrechtliche Organisation,Gesundheitsversorgung,,1 bis 10.000 Euro,01/23 bis 12/23,0.00,1,,,,
