Name,RegNr,Beschäftigte,Betrag,GeschäftsjahrStart,GeschäftsjahrEnde,Interessen,Tätigkeit,Ersteintrag,LetzteÄnd
1 A Pharma GmbH,R006609,1,205000,2023-01-01,2023-12-01,Arzneimittel,Unternehmen,09.04.2024,–
1&1 AG,R001943,5,415000,2022-01-01,2022-12-01,"Parlamentarisches Verfahren; Sonstiges im Bereich ""Bundestag""; EU-Gesetzgebung; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliches Recht; Rechtspolitik; Zivilrecht; Sonstiges im Bereich ""Recht""; Handel und Dienstleistungen; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,13.10.2023
1&1 Mail & Media Applications SE,R001925,5,125000,2022-01-01,2022-12-01,"Parlamentarisches Verfahren; EU-Gesetzgebung; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Werbung; Politisches Leben, Parteien; Öffentliches Recht; Rechtspolitik; Zivilrecht; Sonstiges im Bereich ""Recht""; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,20.12.2023
100 prozent erneuerbar stiftung,R002784,1,95000,2023-01-01,2023-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Ländlicher Raum; Klimaschutz",Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,03.03.2022,28.03.2024
365 Sherpas GmbH,R001824,35,215000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Menschenrechte; Außenwirtschaft; Berufliche Bildung; Hochschulbildung; Schulische Bildung; Vorschulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Institutionelle Fragen der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Religion/Weltanschauung; Seniorenpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Kultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Meinungs- und Pressefreiheit; Urheberrecht; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Asyl und Flüchtlingsschutz; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Rechtspolitik; Zivilrecht; Sonstiges im Bereich ""Recht""; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Pflegeversicherung; Rente/Alterssicherung; Unfallversicherung; Sonstiges im Bereich ""Soziale Sicherung""; Tourismus; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Sonstiges im Bereich ""Staat und Verwaltung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Personenverkehr; Schienenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie","Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",26.02.2022,06.03.2024
50Hertz Transmission GmbH,R001625,35,1175000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; Sonstiges im Bereich ""Innere Sicherheit""; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Verkehr""",Unternehmen,25.02.2022,24.07.2023
8KU GmbH,R001157,1,255000,2023-01-01,2023-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Klimaschutz",Unternehmen,24.02.2022,27.03.2024
A. Nattermann & Cie. GmbH,R006144,895,85000,2022-01-01,2022-12-01,Arzneimittel,Unternehmen,26.07.2023,18.03.2024
ABB AG,R001498,5,185000,2022-01-01,2022-12-01,"Arbeitsmarkt; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; EU-Binnenmarkt; EU-Gesetzgebung; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Verkehrsinfrastruktur; Verkehrspolitik; Industriepolitik; Wissenschaft, Forschung und Technologie",Unternehmen,25.02.2022,12.12.2023
ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,R001417,25,2565000,2022-01-01,2022-12-01,"EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",24.02.2022,29.06.2023
ABEKING & RASMUSSEN Schiffs- und Yachtwerft SE,R002102,5,125000,2022-01-01,2022-12-01,Schifffahrt; Rüstungsangelegenheiten; Industriepolitik,Unternehmen,28.02.2022,30.06.2023
ABV - Arbeitsgemeinschaft berufsständischer,R001025,5,345000,2022-01-01,2022-12-01,"EU-Gesetzgebung; Institutionelle Fragen der EU; Rente /Alterssicherung; Sonstiges im Bereich ""Soziale Sicherung""",Sonstige Organisation,23.02.2022,20.02.2023
ACE Auto Club Europa e.V.,R000563,5,265000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Datenschutz und Informationssicherheit; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Ländlicher Raum; Stadtentwicklung; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Personenverkehr; Schienenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Automobilwirtschaft; Verbraucherschutz","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",16.02.2022,05.10.2023
ADAC Luftrettung gGmbH,R003423,5,195000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Gesundheit""; Bevölkerungsschutz und Katastrophenhilfe; Luft- und Raumfahrt",Unternehmen,14.03.2022,07.03.2023
ADKV. Arbeitsgemeinschaft Deutscher Kunstvereine e.V.,R003759,1,95000,2023-01-01,2023-12-01,Kultur,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,23.03.2022,14.03.2024
ADM Arbeitskreis Deutscher Markt- und Sozialforschungsinstitute e.,R000245,1,45000,2022-01-01,2022-12-01,"Wissenschaft, Forschung und Technologie; Markt-, Meinungs-, Sozialforschung",Wirtschaftsverband oder Gewerbeverband/-verein,01.02.2022,03.04.2024
ADRA Deutschland e.V.,R001570,5,155000,2022-01-01,2022-12-01,"Berufliche Bildung; Schulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Erneuerbare Energien; Entwicklungspolitik; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Geschlechterpolitik; Kinder- und Jugendpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsförderung; Gesundheitsversorgung; Land- und Forstwirtschaft; Lebensmittelsicherheit; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",25.02.2022,20.09.2023
ADS-TEC Energy,R006163,5,185000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Personenverkehr; Verkehrsinfrastruktur; Sonstiges im Bereich ""Verkehr""; Kleine und mittlere Unternehmen",Unternehmen,07.08.2023,12.09.2023
AG Verleih - Verband unabhängiger Filmverleiher,R004374,1,35000,2023-01-01,2023-12-01,"Kultur; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""",Wirtschaftsverband oder Gewerbeverband/-verein,28.04.2022,18.04.2024
AG der Begabtenförderwerke,R005108,15,15000,2022-01-01,2022-12-01,Hochschulbildung,Sonstige Organisation,31.08.2022,12.07.2023
"AGA Norddeutscher Unternehmensverband Großhandel,",R006000,5,245000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Bildung und Erziehung""; Sonstiges im Bereich ""Recht""; Handel und Dienstleistungen",Arbeitgeberverband,26.05.2023,–
"AGFW | Der Energieeffizienzverband für Wärme, Kälte und KWK e.V.",R001096,15,795000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Sonstiges im Bereich ""Recht""; Immissionsschutz; Klimaschutz; Energieinfrastrukturen, Fernwärme, Wärmemarkt",Wirtschaftsverband oder Gewerbeverband/-verein,23.02.2022,07.02.2024
AIR LIQUIDE Deutschland GmbH,R002255,5,295000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Sonstiges im Bereich ""Recht""; Klimaschutz; Güterverkehr; Luft- und Raumfahrt; Schienenverkehr; Schifffahrt; Straßenverkehr; Industriepolitik; Wettbewerbsrecht",Unternehmen,28.02.2022,20.02.2024
AJC Berlin gGmbH,R004204,5,825000,2022-01-01,2022-12-01,"Außenpolitik; Internationale Beziehungen; Menschenrechte; Gemeinsame Außen- und Sicherheitspolitik der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Religion/Weltanschauung; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Extremismusbekämpfung; Terrorismusbekämpfung; Sonstiges im Bereich ""Innere Sicherheit""; Integration; Politisches Leben, Parteien; Strafrecht; Sonstiges im Bereich ""Recht""; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)",13.04.2022,03.08.2023
AK REGTP,R002877,35,25000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""","Anwaltskanzlei, Einzelanwältin oder Einzelanwalt",04.03.2022,16.03.2023
ALBA plc & Co. KG,R002293,1,95000,2023-01-01,2023-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Außenwirtschaft; Parlamentarisches Verfahren; Allgemeine Energiepolitik; Erneuerbare Energien; EU-Binnenmarkt; EU-Gesetzgebung; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Öffentlicher Dienst und öffentliche Verwaltung; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Industriepolitik; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,23.04.2024
